unidade;ano;mes;grupo;subgrupo;exames
CHPB;2025;5;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;19
CHPB;2025;5;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;290
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1989
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;21
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;919
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;31
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2025;6;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;310
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2189
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;18
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico por ressonância magnética;1
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1148
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;18
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;12
CHPB;2025;7;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;370
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1978
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;21
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1314
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;10
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2025;8;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;306
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1681
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;9
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico por ressonância magnética;1
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;917
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;17
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;16
CHPB;2025;9;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;313
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2110
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico em vigilância epidemiológica e ambiental;1
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;6
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1182
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;23
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;16
CHPB;2025;10;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;430
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1898
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;10
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1251
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;17
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2025;11;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;478
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1870
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;16
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico por ressonância magnética;1
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1379
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;25
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2025;12;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;291
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1987
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;7
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1102
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;14
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;11
CHPB;2026;1;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;329
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2088
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;6
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1189
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;34
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;22
CHPB;2026;2;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;386
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Coleta de material;3
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1864
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;10
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico por ressonância magnética;3
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1236
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;22
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;15
CHPB;2026;3;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;399
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1710
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;15
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1347
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;14
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;6
CHPB;2026;4;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;253
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2235
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;28
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1375
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;12
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;10
CHPB;2026;5;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;315
CSPD;2023;10;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Coleta de material;14
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;473
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;22
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;721
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;280
CSPD;2023;11;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;1
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Coleta de material;17
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;719
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;24
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1234
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;234
CSPD;2023;12;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;2
CSPD;2024;1;Procedimentos com finalidade diagnóstica;Coleta de material;16
CSPD;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;888
